concert_name,artists,date,time,city,state,price_min,price_max
Five Finger Death Punch,"['Five Finger Death Punch', 'In This Moment']",2019-07-23,18:30:00,Rochester,NY,49.5,49.5
Between The Buried and Me with special guests The Contortionist and Nick Johnston,"['Between The Buried And Me', 'The Contortionist']",2019-07-24,19:00:00,Clifton Park,NY,N/A,N/A
$UICIDEBOY$ - Grey Day Tour,"['$UICIDEBOY$', 'Denzel Curry', 'Turnstile', 'City Morgue', 'Germ', 'Night Lovell', 'Trash Talk']",2019-08-09,18:00:00,Brooklyn,NY,N/A,N/A
Tim McGraw,['Tim McGraw'],2019-08-14,20:00:00,Middletown,NY,59.0,59.0
Brett Eldredge,"['Brett Eldredge', 'Cassadee Pope']",2019-07-27,19:00:00,Farmingville,NY,N/A,N/A
Iron Maiden - Legacy Of The Beast Tour 2019,"['Iron Maiden', 'The Raven Age']",2019-08-13,19:30:00,Buffalo,NY,N/A,N/A
Weird Al Yankovic,['Weird Al Yankovic'],2019-07-20,19:00:00,Forest Hills,NY,N/A,N/A
"Nelly, TLC, and Flo Rida","['Nelly', 'TLC', 'Flo Rida']",2019-08-09,19:00:00,Bethel,NY,36.0,36.0
Kirk Franklin: The Long Live Love Tour,"['Kirk Franklin', 'Koryn Hawthorne', 'Travele Judon']",2019-07-28,20:00:00,New York,NY,N/A,N/A
Fisher,['Fisher'],2019-08-03,21:00:00,Brooklyn,NY,N/A,N/A
Incubus,['Incubus'],2019-08-06,17:00:00,Buffalo,NY,N/A,N/A
LANCO with Special Guest Chase Bryant,['LANCO'],2019-07-20,19:00:00,Salamanca,NY,45.0,45.0
Keane,['Keane'],2019-08-06,19:00:00,New York,NY,N/A,N/A
Rufus Du Sol,['RÜFÜS DU SOL'],2019-08-10,21:00:00,Brooklyn,NY,N/A,N/A
Greensky Bluegrass,['Greensky Bluegrass'],2019-08-02,18:30:00,New York,NY,35.0,35.0
Rob Thomas: Chip Tooth Tour,"['Rob Thomas', 'Abby Anderson']",2019-08-02,20:00:00,Port Chester,NY,N/A,N/A
Herbie Hancock,['Herbie Hancock'],2019-08-01,19:30:00,New York,NY,75.0,75.0
Weird Al Yankovic,['Weird Al Yankovic'],2019-07-23,19:00:00,Lewiston,NY,N/A,N/A
Rufus Du Sol,['RÜFÜS DU SOL'],2019-08-09,21:00:00,Brooklyn,NY,N/A,N/A
UB40 40th Anniversary Tour,['UB40'],2019-08-08,20:00:00,Huntington,NY,24.5,24.5
Flaming Lips,['The Flaming Lips'],2019-07-30,20:00:00,Port Chester,NY,N/A,N/A
Interpol,['Interpol'],2019-08-06,19:00:00,Buffalo,NY,N/A,N/A
Theory of a Deadman,['Theory of a Deadman'],2019-08-09,17:30:00,Batavia,NY,N/A,N/A
